KONM,34.02247222222222,-106.90313888888889,
KRKD,44.06007222222222,-69.09925555555554,
LGSR,36.399166666666666,25.479166666666664,
LGKL,37.068333333333335,22.025277777777777,
PALR,67.50451666666666,-148.48322222222222,
EDLP,51.614088888888894,8.616316666666666,
KMHK,39.14123333333333,-96.67179444444444,
KFNL,40.45181666666667,-105.01133888888889,
MMAN,25.865605555555558,-100.23721111111111,
EGXU,54.049391666666665,-1.2530972222222223,
KMMU,40.79933333333333,-74.4148888888889,
KBHB,44.44976666666666,-68.36156388888888,
SBJP,-7.145833333333334,-34.95027777777778,
KEGI,30.64858611111111,-86.52195833333333,
KUES,43.04102777777778,-88.23705555555556,
KEWN,35.07285,-77.04301944444444,
KTDF,36.2846,-78.984625,
FOOH,-1.5833333333333335,9.266666666666667,
KSAV,32.127583333333334,-81.2021388888889,
KWVL,44.53325,-69.67552777777779,
OIMM,36.23416666666667,59.644999999999996,
KMIA,25.795361111111113,-80.29011111111112,
SVVA,10.15,-67.923,
EEKA,58.990833333333335,22.830833333333334,
KSTK,40.61429722222223,-103.26426111111111,
KABY,31.53552777777778,-84.19447222222223,
KUKT,40.435138888888886,-75.38194444444444,
KNFW,32.769194444444445,-97.44152777777778,
SSST,-29.215,-54.842222222222226,
SAWE,-53.777499999999996,-67.75,
KBKF,39.70176666666667,-104.75196111111111,
KEDJ,40.372277777777775,-83.81925,
HTKI,-8.916666666666666,39.483333333333334,
KTEX,37.95380555555556,-107.90875000000001,
PAWN,67.56116666666667,-162.98041666666666,
KOZR,31.275666666666666,-85.71333333333334,
SKAR,4.451752777777778,-75.76617222222222,
KMIE,40.242472222222226,-85.39575,
KSRB,36.05673611111111,-85.53010555555555,
KHEZ,31.613666666666667,-91.29733333333333,
KJTC,34.129416666666664,-109.31086111111111,
CYZV,50.22338611111111,-66.26569166666667,
KOAJ,34.82916666666667,-77.61213888888888,
CYAB,73.00638611111111,-85.04731666666666,
KCBK,39.42744444444444,-101.0466111111111,
KRCM,38.784166666666664,-93.80286111111111,
YFRT,-30.838055555555556,128.11499999999998,
ZWKC,41.67666666666666,82.87166666666666,
KNQA,35.35663888888889,-89.87041666666666,
KCNB,44.729486111111115,-96.26600277777777,
KRPX,46.475,-108.54341666666666,
LEPP,42.769999999999996,-1.646388888888889,
KPHT,36.33594444444444,-88.38444444444445,
EGCC,53.35388888888889,-2.275,
KRPD,45.42011111111111,-91.77333333333333,
KBXK,33.42041666666666,-112.68618055555557,
LOWZ,47.29222222222222,12.7875,
CYYF,49.462575,-119.60227499999999,
EGXZ,54.2055,-1.3821666666666668,
KCWA,44.77762222222222,-89.66677777777778,
SARC,-27.445555555555554,-58.761944444444445,
KGFL,43.34122222222222,-73.61030555555556,
CYHY,60.83977777777778,-115.78279722222221,
KDZJ,34.85444444444445,-83.99733333333333,
SASJ,-24.392777777777777,-65.09777777777778,
KCKB,39.29765277777778,-80.22753055555556,
EHVK,51.65720833333333,5.707825000000001,
KBVO,36.76336111111111,-96.01119444444444,
SUPU,-32.363055555555555,-58.06638888888889,
KSEA,47.449888888888886,-122.31177777777778,
KBIS,46.77272222222222,-100.74575,
LIBD,41.13805555555555,16.765,
KNGU,36.937466666666666,-76.28927777777777,
FNBG,-12.61,13.403611111111111,
KMCW,43.157805555555555,-93.33125,
ENMH,71.02972222222222,27.826666666666668,
KTFP,27.913027777777778,-97.2115,
DTTZ,33.939722222222215,8.110555555555555,
KHSD,35.60183333333333,-97.70616666666668,
EBAW,51.18944444444444,4.460277777777778,
KCSM,35.33983888888889,-99.2005,
LTAE,40.07888888888889,32.565555555555555,
EGGW,51.874722222222225,-0.3683333333333333,
RJCA,43.794444444444444,142.36499999999998,
LFPV,48.774166666666666,2.1913888888888886,
KBOS,42.362944444444445,-71.00638888888889,
SKBO,4.701602777777778,-74.14695555555556,
OIBS,25.90833333333333,54.541666666666664,
LTAR,39.814166666666665,36.902499999999996,
SBBV,2.841388888888889,-60.69222222222222,
ZWTL,43.031666666666666,89.1,
OETR,31.692777777777778,38.73111111111111,
ENBS,70.60027777777778,29.6925,
CYZT,50.680594444444445,-127.36665833333333,
EDDB,52.36224722222222,13.500672222222223,
KPKB,39.344972222222225,-81.43930555555556,
EGHQ,50.44083333333333,-4.995277777777778,
SCCY,-45.593611111111116,-72.10527777777777,
KNSI,33.239783333333335,-119.45820277777779,
KPBX,37.561811111111105,-82.56643055555556,
YMAY,-36.06777777777778,146.95805555555555,
MMMT,18.10334166666667,-94.58061388888889,
LUBL,47.83846666666667,27.780705555555553,
SARE,-27.45,-59.05611111111111,
LEST,42.896388888888886,-8.415277777777778,
KHZX,46.61879722222222,-93.3098111111111,
MDPC,18.570780555555555,-68.3661861111111,
KRNH,45.147777777777776,-92.53916666666666,
KDUX,35.85743055555556,-102.01330833333333,
MMMM,19.849869444444444,-101.025375,
EGVN,51.74998611111111,-1.5829472222222223,
KSEP,32.215333333333334,-98.17766666666667,
KCSQ,41.02144444444444,-94.36330555555556,
KRCE,35.488083333333336,-97.82355555555556,
KDYT,46.72185555555556,-92.04343888888889,
KFHB,30.611833333333333,-81.46119444444444,
KRNC,35.69870833333333,-85.84381666666667,
KDFI,41.337500000000006,-84.42880555555556,
SANT,-26.840833333333332,-65.10472222222222,
KCKN,47.841655555555555,-96.62145277777778,
KBVN,41.72855555555556,-98.05555555555556,
KIPJ,35.483333333333334,-81.16125000000001,
OAFZ,37.11944444444445,70.51833333333333,
SCCC,-46.58277777777778,-71.68666666666667,
HEBL,22.375833333333333,31.611666666666668,
