"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
OAZJ	Zaranj	Zaranj	Afghanistan	AFG	30.97222222222222	61.865833333333335	type:Point,coordinates:[61.865833333333335,30.97222222222222]	
OAZI	Bastion	Bastion	Afghanistan	AFG	31.85027777777778	64.22833333333334	type:Point,coordinates:[64.22833333333334,31.85027777777778]	
OASD	Shindand	Shindand	Afghanistan	AFG	33.39222222222222	62.26111111111111	type:Point,coordinates:[62.26111111111111,33.39222222222222]	
OASA	Sharana	Sharana	Afghanistan	AFG	33.12583333333333	68.8386111111111	type:Point,coordinates:[68.8386111111111,33.12583333333333]	
OADY	Dwyer	Dwyer	Afghanistan	AFG	31.091944444444444	64.06694444444445	type:Point,coordinates:[64.06694444444445,31.091944444444444]	
OAQN	Qala-I-Naw	Qala-I-Naw	Afghanistan	AFG	34.98583333333333	63.117777777777775	type:Point,coordinates:[63.117777777777775,34.98583333333333]	
OAUZ	Kunduz	Kunduz	Afghanistan	AFG	36.665	68.91083333333334	type:Point,coordinates:[68.91083333333334,36.665]	
OABN	Bamyan	Bamyan	Afghanistan	AFG	34.809999999999995	67.82055555555556	type:Point,coordinates:[67.82055555555556,34.809999999999995]	
OAQA	Qalat	Qalat	Afghanistan	AFG	32.13388888888889	66.89888888888889	type:Point,coordinates:[66.89888888888889,32.13388888888889]	
OATN	Tarin Kowt	Tereen	Afghanistan	AFG	32.605000000000004	65.86388888888888	type:Point,coordinates:[65.86388888888888,32.605000000000004]	
OAMN	Maimana	Maimana	Afghanistan	AFG	35.93055555555555	64.7611111111111	type:Point,coordinates:[64.7611111111111,35.93055555555555]	
OAKN	Kandahar	Kandahar	Afghanistan	AFG	31.505872222222223	65.84779722222221	type:Point,coordinates:[65.84779722222221,31.505872222222223]	
OAHR	Herat	Herat	Afghanistan	AFG	34.21	62.22833333333333	type:Point,coordinates:[62.22833333333333,34.21]	
OAKB	Kabul Intl	Kabul	Afghanistan	AFG	34.56584722222222	69.21235555555556	type:Point,coordinates:[69.21235555555556,34.56584722222222]	
OAFR	Farah	Farah	Afghanistan	AFG	32.36361111111111	62.1675	type:Point,coordinates:[62.1675,32.36361111111111]	
OASL	Salerno	Salerno	Afghanistan	AFG	33.36361111111111	69.95527777777778	type:Point,coordinates:[69.95527777777778,33.36361111111111]	
OASH	Shank	Shank	Afghanistan	AFG	33.92194444444444	69.07805555555555	type:Point,coordinates:[69.07805555555555,33.92194444444444]	
OAJL	Jalalabad	Jalalabad	Afghanistan	AFG	34.39995	70.49845277777779	type:Point,coordinates:[70.49845277777779,34.39995]	
OACC	Chakhcharan	Chakhcharan	Afghanistan	AFG	34.52638888888889	65.27083333333333	type:Point,coordinates:[65.27083333333333,34.52638888888889]	
OAIX	Bagram	Bagram	Afghanistan	AFG	34.94580277777777	69.26591944444445	type:Point,coordinates:[69.26591944444445,34.94580277777777]	
OAMS	Mawlana Jalaludin Muhammad Balkhi	Mazar-e Sharif	Afghanistan	AFG	36.706944444444446	67.20944444444444	type:Point,coordinates:[67.20944444444444,36.706944444444446]	
OAFZ	Feyzabad	Feyzabad	Afghanistan	AFG	37.11944444444445	70.51833333333333	type:Point,coordinates:[70.51833333333333,37.11944444444445]	
OABT	Bost	Lashkar Gah	Afghanistan	AFG	31.560000000000002	64.365	type:Point,coordinates:[64.365,31.560000000000002]	
LATI	Tirana	Tirana	Albania	ALB	41.414722222222224	19.720555555555553	type:Point,coordinates:[19.720555555555553,41.414722222222224]	
LATI	Tirana	Tirana	Albania	ALB	41.414722222222224	19.720555555555553	type:Point,coordinates:[19.720555555555553,41.414722222222224]	
LATI	Tirana	Tirana	Albania	ALB	41.414722222222224	19.720555555555553	type:Point,coordinates:[19.720555555555553,41.414722222222224]	
FNUB	Mukanka	Lubango	Angola	AGO	-14.924444444444443	13.571666666666667	type:Point,coordinates:[13.571666666666667,-14.924444444444443]	
FNSA	Saurimo	Saurimo	Angola	AGO	-9.68888888888889	20.430833333333336	type:Point,coordinates:[20.430833333333336,-9.68888888888889]	
FNMO	Yuri Gagarin	Namibe	Angola	AGO	-15.259444444444444	12.148888888888889	type:Point,coordinates:[12.148888888888889,-15.259444444444444]	
FNLU	4th Of February	Luanda	Angola	AGO	-8.855491666666666	13.23391111111111	type:Point,coordinates:[13.23391111111111,-8.855491666666666]	
FNHU	Albano Machado	Huambo	Angola	AGO	-12.8	15.75	type:Point,coordinates:[15.75,-12.8]	
FNUE	Moxico	Luena	Angola	AGO	-11.768611111111111	19.897222222222222	type:Point,coordinates:[19.897222222222222,-11.768611111111111]	
FNGI	Ondjiva	Ondjiva	Angola	AGO	-17.043333333333337	15.68388888888889	type:Point,coordinates:[15.68388888888889,-17.043333333333337]	
FNCA	Cabinda	Cabinda	Angola	AGO	-5.586666666666666	12.188611111111111	type:Point,coordinates:[12.188611111111111,-5.586666666666666]	
FNBG	17th of September	Benguela	Angola	AGO	-12.61	13.403611111111111	type:Point,coordinates:[13.403611111111111,-12.61]	
TAPH	Codrington	Barbuda	Antigua	ATG	17.608333333333334	-61.843333333333334	type:Point,coordinates:[-61.843333333333334,17.608333333333334]	
TAPA	V C Bird Intl	St Johns	Antigua	ATG	17.136666666666667	-61.79277777777778	type:Point,coordinates:[-61.79277777777778,17.136666666666667]	
VDR	Villa Del Rosario	Villa Del Rosario	Argentina	ARG	-31.580555555555556	-63.538888888888884	type:Point,coordinates:[-63.538888888888884,-31.580555555555556]	
SAZY	Aviador C. Campos	San Martin De Los Andes	Argentina	ARG	-40.07527777777778	-71.13722222222223	type:Point,coordinates:[-71.13722222222223,-40.07527777777778]	
SAZX	Nueve De Julio	Nueve De Julio	Argentina	ARG	-35.39944444444444	-60.93333333333333	type:Point,coordinates:[-60.93333333333333,-35.39944444444444]	
SAZW	Cutral-Co	Cutral-Co	Argentina	ARG	-38.939722222222215	-69.265	type:Point,coordinates:[-69.265,-38.939722222222215]	
