BGKK	Kulusuk Lufthavn, Greenland (BGKK) 65-35N 037-09W 37M	2016.04.07 0950 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BGKK.TXT
BGMQ	Station name not available	2014.07.24 1050 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BGMQ.TXT
BGPT	Station name not available	2014.07.24 1050 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BGPT.TXT
BGQQ	Station name not available	2014.07.24 1050 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BGQQ.TXT
BGSF	Sdr Stroemfjord, Greenland (BGSF) 67-01N 050-42W 53M	2016.04.07 0950 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BGSF.TXT
BGSS	Station name not available	2014.07.24 1050 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BGSS.TXT
BGTL	Thule A. B., Greenland (BGTL) 76-32N 068-45W 77M	2016.04.07 0858 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BGTL.TXT
BGUK	Station name not available	2014.07.24 1050 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BGUK.TXT
BGUQ	Station name not available	2014.07.24 1050 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BGUQ.TXT
BHSA	Station name not available	2008.08.27 1750 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BHSA.TXT
BIAR	Akureyri, Iceland (BIAR) 65-41N 018-05W 27M	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BIAR.TXT
BIBD	Station name not available	2016.04.07 1000 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BIBD.TXT
BIEG	Egilsstadir, Iceland (BIEG) 65-17N 014-24W 23M	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BIEG.TXT
BIGR	Grimsey, Iceland (BIGR) 66-32N 018-01W 16M	2016.01.10 1421 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BIGR.TXT
BIHN	Akurnes, Iceland (BIHN) 64-18N 015-13W 21M	2016.04.07 1000 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BIHN.TXT
BIHU	Station name not available	2016.04.04 0921 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BIHU.TXT
BIIE	Station name not available	2010.08.13 2300 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BIIE.TXT
BIIS	Station name not available	2016.04.07 0800 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BIIS.TXT
BIKF	Keflavikurflugvollur, Iceland (BIKF) 63-58N 022-36W 54M	2016.04.07 0930 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BIKF.TXT
BIKR	Station name not available	2014.12.16 1450 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BIKR.TXT
BIRK	Reykjavik, Iceland (BIRK) 64-08N 021-54W 61M	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BIRK.TXT
BIVM	Vestmannaeyjar, Iceland (BIVM) 63-24N 020-17W 124M	2016.04.07 0914 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BIVM.TXT
BIVO	Skjaldthingsstadir, Iceland (BIVO) 65-42N 014-49W 48M	2016.01.04 0930 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BIVO.TXT
BKBK	Station name not available	2009.09.01 1630 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BKBK.TXT
BKPR	Station name not available	2016.04.07 0930 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BKPR.TXT
BMAA	Station name not available	2008.09.11 2000 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BMAA.TXT
BPHO	Station name not available	2009.05.22 2000 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/BPHO.TXT
CAHR	Station name not available	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CAHR.TXT
CALC	Station name not available	2009.12.03 1156 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CALC.TXT
CALK	Station name not available	2012.09.23 0056 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CALK.TXT
CBBA	Station name not available	2013.01.19 0100 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CBBA.TXT
